month yy,mean ride_length,max ride_lenght
Jul 23,0 days 00:18:25.285134103,1 days 16:57:51
Aug 23,0 days 00:17:43.615741666,4 days 18:51:13
Sep 23,0 days 00:16:53.695123708,1 days 00:57:54
Oct 23,0 days 00:14:47.305301636,1 days 00:55:34
Nov 23,0 days 00:12:50.393860217,1 days 00:57:30
Dec 23,0 days 00:12:03.658944735,1 days 00:54:28
Jan 24,0 days 00:12:10.440100871,1 days 00:57:19
Feb 24,0 days 00:13:24.794723280,1 days 00:57:39
Mar 24,0 days 00:14:18.040481504,1 days 01:09:22
Apr 24,0 days 00:16:13.395476128,1 days 00:53:33
May 24,0 days 00:18:26.054775560,1 days 00:56:25
Jun 24,0 days 00:19:02.617775627,1 days 00:56:19.856000
